"Plot Title: HOBO15"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 1058707, SEN S/N: 1058707)","Intensity, Lux (LGR S/N: 1058707, SEN S/N: 1058707)","Started (LGR S/N: 1058707)","Coupler Attached (LGR S/N: 1058707)","Host Connected (LGR S/N: 1058707)","Stopped (LGR S/N: 1058707)","End Of File (LGR S/N: 1058707)"
1,06/26/23 03:00:00 PM,44.457,99200.7,Logged,,,,
2,06/26/23 03:05:00 PM,44.457,99200.7,,,,,
3,06/26/23 03:10:00 PM,43.966,137778.7,,,,,
4,06/26/23 03:15:00 PM,45.326,148801.0,,,,,
5,06/26/23 03:20:00 PM,45.956,148801.0,,,,,
6,06/26/23 03:25:00 PM,46.210,143289.8,,,,,
7,06/26/23 03:30:00 PM,45.703,132267.5,,,,,
8,06/26/23 03:35:00 PM,44.704,88178.4,,,,,
9,06/26/23 03:40:00 PM,43.480,99200.7,,,,,
10,06/26/23 03:45:00 PM,42.164,74400.5,,,,,
11,06/26/23 03:50:00 PM,40.876,79911.6,,,,,
12,06/26/23 03:55:00 PM,41.928,115734.1,,,,,
13,06/26/23 04:00:00 PM,43.480,126756.4,,,,,
14,06/26/23 04:05:00 PM,44.457,132267.5,,,,,
15,06/26/23 04:10:00 PM,44.828,126756.4,,,,,
16,06/26/23 04:15:00 PM,45.076,126756.4,,,,,
17,06/26/23 04:20:00 PM,44.334,121245.2,,,,,
18,06/26/23 04:25:00 PM,44.457,115734.1,,,,,
19,06/26/23 04:30:00 PM,44.089,110223.0,,,,,
20,06/26/23 04:35:00 PM,43.723,104711.8,,,,,
21,06/26/23 04:40:00 PM,43.118,93689.5,,,,,
22,06/26/23 04:45:00 PM,42.164,71644.9,,,,,
23,06/26/23 04:50:00 PM,42.282,93689.5,,,,,
24,06/26/23 04:55:00 PM,42.758,99200.7,,,,,
25,06/26/23 05:00:00 PM,43.118,93689.5,,,,,
26,06/26/23 05:05:00 PM,43.118,88178.4,,,,,
27,06/26/23 05:10:00 PM,42.164,88178.4,,,,,
28,06/26/23 05:15:00 PM,41.108,66133.8,,,,,
29,06/26/23 05:20:00 PM,39.843,55111.5,,,,,
30,06/26/23 05:25:00 PM,39.389,63378.2,,,,,
31,06/26/23 05:30:00 PM,39.050,66133.8,,,,,
32,06/26/23 05:35:00 PM,38.490,57867.0,,,,,
33,06/26/23 05:40:00 PM,38.046,49600.3,,,,,
34,06/26/23 05:45:00 PM,37.824,52355.9,,,,,
35,06/26/23 05:50:00 PM,38.046,55111.5,,,,,
36,06/26/23 05:55:00 PM,38.046,55111.5,,,,,
37,06/26/23 06:00:00 PM,38.157,46844.8,,,,,
38,06/26/23 06:05:00 PM,37.384,41333.6,,,,,
39,06/26/23 06:10:00 PM,36.728,44089.2,,,,,
40,06/26/23 06:15:00 PM,36.620,41333.6,,,,,
41,06/26/23 06:20:00 PM,36.187,31689.1,,,,,
42,06/26/23 06:25:00 PM,35.328,28933.5,,,,,
43,06/26/23 06:30:00 PM,34.268,17222.3,,,,,
44,06/26/23 06:35:00 PM,33.743,30311.3,,,,,
45,06/26/23 06:40:00 PM,34.058,28933.5,,,,,
46,06/26/23 06:45:00 PM,34.374,33066.9,,,,,
47,06/26/23 06:50:00 PM,34.691,31689.1,,,,,
48,06/26/23 06:55:00 PM,34.585,26178.0,,,,,
49,06/26/23 07:00:00 PM,33.848,20666.8,,,,,
50,06/26/23 07:05:00 PM,33.118,8266.7,,,,,
51,06/26/23 07:10:00 PM,32.497,20666.8,,,,,
52,06/26/23 07:15:00 PM,31.574,7577.8,,,,,
53,06/26/23 07:20:00 PM,30.760,6200.0,,,,,
54,06/26/23 07:25:00 PM,30.054,5166.7,,,,,
55,06/26/23 07:30:00 PM,29.552,10677.8,,,,,
56,06/26/23 07:35:00 PM,29.452,11022.3,,,,,
57,06/26/23 07:40:00 PM,29.752,9644.5,,,,,
58,06/26/23 07:45:00 PM,29.853,8266.7,,,,,
59,06/26/23 07:50:00 PM,29.452,5338.9,,,,,
60,06/26/23 07:55:00 PM,28.754,3272.2,,,,,
61,06/26/23 08:00:00 PM,28.258,2411.1,,,,,
62,06/26/23 08:05:00 PM,27.862,1980.6,,,,,
63,06/26/23 08:10:00 PM,27.468,1636.1,,,,,
64,06/26/23 08:15:00 PM,27.173,1377.8,,,,,
65,06/26/23 08:20:00 PM,26.977,1033.3,,,,,
66,06/26/23 08:25:00 PM,26.683,699.7,,,,,
67,06/26/23 08:30:00 PM,26.488,430.6,,,,,
68,06/26/23 08:35:00 PM,26.390,269.1,,,,,
69,06/26/23 08:40:00 PM,26.292,172.2,,,,,
70,06/26/23 08:45:00 PM,26.097,64.6,,,,,
71,06/26/23 08:50:00 PM,26.000,0.0,,,,,
72,06/26/23 08:55:00 PM,25.902,0.0,,,,,
73,06/26/23 09:00:00 PM,25.902,0.0,,,,,
74,06/26/23 09:05:00 PM,25.902,0.0,,,,,
75,06/26/23 09:10:00 PM,25.805,0.0,,,,,
76,06/26/23 09:15:00 PM,25.708,0.0,,,,,
77,06/26/23 09:20:00 PM,25.708,0.0,,,,,
78,06/26/23 09:25:00 PM,25.708,0.0,,,,,
79,06/26/23 09:30:00 PM,25.708,0.0,,,,,
80,06/26/23 09:35:00 PM,25.708,0.0,,,,,
81,06/26/23 09:40:00 PM,25.610,0.0,,,,,
82,06/26/23 09:45:00 PM,25.610,0.0,,,,,
83,06/26/23 09:50:00 PM,25.610,0.0,,,,,
84,06/26/23 09:55:00 PM,25.513,0.0,,,,,
85,06/26/23 10:00:00 PM,25.513,0.0,,,,,
86,06/26/23 10:05:00 PM,25.513,0.0,,,,,
87,06/26/23 10:10:00 PM,25.513,0.0,,,,,
88,06/26/23 10:15:00 PM,25.513,0.0,,,,,
89,06/26/23 10:20:00 PM,25.610,0.0,,,,,
90,06/26/23 10:25:00 PM,25.513,0.0,,,,,
91,06/26/23 10:30:00 PM,25.513,0.0,,,,,
92,06/26/23 10:35:00 PM,25.610,0.0,,,,,
93,06/26/23 10:40:00 PM,25.610,0.0,,,,,
94,06/26/23 10:45:00 PM,25.610,0.0,,,,,
95,06/26/23 10:50:00 PM,25.610,0.0,,,,,
96,06/26/23 10:55:00 PM,25.610,0.0,,,,,
97,06/26/23 11:00:00 PM,25.610,0.0,,,,,
98,06/26/23 11:05:00 PM,25.610,0.0,,,,,
99,06/26/23 11:10:00 PM,25.610,0.0,,,,,
100,06/26/23 11:15:00 PM,25.610,0.0,,,,,
101,06/26/23 11:20:00 PM,25.610,0.0,,,,,
102,06/26/23 11:25:00 PM,25.610,0.0,,,,,
103,06/26/23 11:30:00 PM,25.610,0.0,,,,,
104,06/26/23 11:35:00 PM,25.610,0.0,,,,,
105,06/26/23 11:40:00 PM,25.708,0.0,,,,,
106,06/26/23 11:45:00 PM,25.708,0.0,,,,,
107,06/26/23 11:50:00 PM,25.708,0.0,,,,,
108,06/26/23 11:55:00 PM,25.708,0.0,,,,,
109,06/27/23 12:00:00 AM,25.708,0.0,,,,,
110,06/27/23 12:05:00 AM,25.708,0.0,,,,,
111,06/27/23 12:10:00 AM,25.708,0.0,,,,,
112,06/27/23 12:15:00 AM,25.708,0.0,,,,,
113,06/27/23 12:20:00 AM,25.708,0.0,,,,,
114,06/27/23 12:25:00 AM,25.708,0.0,,,,,
115,06/27/23 12:30:00 AM,25.708,0.0,,,,,
116,06/27/23 12:35:00 AM,25.805,0.0,,,,,
117,06/27/23 12:40:00 AM,25.708,0.0,,,,,
118,06/27/23 12:45:00 AM,25.805,0.0,,,,,
119,06/27/23 12:50:00 AM,25.805,0.0,,,,,
120,06/27/23 12:55:00 AM,25.805,0.0,,,,,
121,06/27/23 01:00:00 AM,25.805,0.0,,,,,
122,06/27/23 01:05:00 AM,25.805,0.0,,,,,
123,06/27/23 01:10:00 AM,25.902,0.0,,,,,
124,06/27/23 01:15:00 AM,26.000,0.0,,,,,
125,06/27/23 01:20:00 AM,26.000,0.0,,,,,
126,06/27/23 01:25:00 AM,25.902,0.0,,,,,
127,06/27/23 01:30:00 AM,25.902,0.0,,,,,
128,06/27/23 01:35:00 AM,25.805,0.0,,,,,
129,06/27/23 01:40:00 AM,25.805,0.0,,,,,
130,06/27/23 01:45:00 AM,25.902,0.0,,,,,
131,06/27/23 01:50:00 AM,26.000,0.0,,,,,
