"Plot Title: HOBO19"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 1058726, SEN S/N: 1058726)","Intensity, Lux (LGR S/N: 1058726, SEN S/N: 1058726)","Host Connected (LGR S/N: 1058726)","Coupler Attached (LGR S/N: 1058726)","Coupler Detached (LGR S/N: 1058726)","Stopped (LGR S/N: 1058726)","End Of File (LGR S/N: 1058726)"
1,07/11/23 11:50:00 AM,27.567,14466.8,,,,,
2,07/11/23 11:55:00 AM,30.054,17222.3,,,,,
3,07/11/23 12:00:00 PM,30.862,22044.6,,,,,
4,07/11/23 12:05:00 PM,28.060,46844.8,,,,,
5,07/11/23 12:10:00 PM,25.902,6200.0,,,,,
6,07/11/23 12:15:00 PM,25.708,24800.2,,,,,
7,07/11/23 12:20:00 PM,26.000,10677.8,,,,,
8,07/11/23 12:25:00 PM,26.292,55111.5,,,,,
9,07/11/23 12:30:00 PM,25.319,6544.5,,,,,
10,07/11/23 12:35:00 PM,25.125,46844.8,,,,,
11,07/11/23 12:40:00 PM,25.416,39955.8,,,,,
12,07/11/23 12:45:00 PM,25.222,12400.1,,,,,
13,07/11/23 12:50:00 PM,25.125,4133.4,,,,,
14,07/11/23 12:55:00 PM,25.513,10333.4,,,,,
15,07/11/23 01:00:00 PM,25.610,22044.6,,,,,
16,07/11/23 01:05:00 PM,25.319,22044.6,,,,,
17,07/11/23 01:10:00 PM,24.931,8266.7,,,,,
18,07/11/23 01:15:00 PM,24.931,30311.3,,,,,
19,07/11/23 01:20:00 PM,24.931,33066.9,,,,,
20,07/11/23 01:25:00 PM,24.738,16533.4,,,,,
21,07/11/23 01:30:00 PM,24.158,18600.1,,,,,
22,07/11/23 01:35:00 PM,24.255,16533.4,,,,,
23,07/11/23 01:40:00 PM,23.966,24800.2,,,,,
24,07/11/23 01:45:00 PM,23.677,26178.0,,,,,
25,07/11/23 01:50:00 PM,23.004,6200.0,,,,,
26,07/11/23 01:55:00 PM,22.621,6544.5,,,,,
27,07/11/23 02:00:00 PM,22.717,17222.3,,,,,
28,07/11/23 02:05:00 PM,22.717,13089.0,,,,,
29,07/11/23 02:10:00 PM,22.525,14466.8,,,,,
30,07/11/23 02:15:00 PM,22.238,4650.0,,,,,
31,07/11/23 02:20:00 PM,21.855,5511.1,,,,,
32,07/11/23 02:25:00 PM,21.569,8266.7,,,,,
33,07/11/23 02:30:00 PM,21.282,4650.0,,,,,
34,07/11/23 02:35:00 PM,21.378,5338.9,,,,,
35,07/11/23 02:40:00 PM,21.951,10333.4,,,,,
36,07/11/23 02:45:00 PM,22.142,6200.0,,,,,
37,07/11/23 02:50:00 PM,22.238,8611.2,,,,,
38,07/11/23 02:55:00 PM,22.429,8611.2,,,,,
39,07/11/23 03:00:00 PM,22.429,4133.4,,,,,
40,07/11/23 03:05:00 PM,22.333,4133.4,,,,,
41,07/11/23 03:10:00 PM,22.333,7233.4,,,,,
42,07/11/23 03:15:00 PM,22.142,2927.8,,,,,
43,07/11/23 03:20:00 PM,22.238,7233.4,,,,,
44,07/11/23 03:25:00 PM,22.238,8266.7,,,,,
45,07/11/23 03:30:00 PM,21.951,4650.0,,,,,
46,07/11/23 03:35:00 PM,21.760,3100.0,,,,,
47,07/11/23 03:40:00 PM,21.855,8611.2,,,,,
48,07/11/23 03:45:00 PM,22.046,8266.7,,,,,
49,07/11/23 03:50:00 PM,22.046,3444.5,,,,,
50,07/11/23 03:55:00 PM,22.046,5166.7,,,,,
51,07/11/23 04:00:00 PM,22.142,7577.8,,,,,
52,07/11/23 04:05:00 PM,22.717,6544.5,,,,,
53,07/11/23 04:10:00 PM,23.773,3100.0,,,,,
54,07/11/23 04:15:00 PM,24.931,5511.1,,,,,
55,07/11/23 04:20:00 PM,25.708,4994.5,,,,,
56,07/11/23 04:25:00 PM,26.195,4822.3,,,,,
57,07/11/23 04:30:00 PM,26.585,2325.0,,,,,
58,07/11/23 04:35:00 PM,26.879,5166.7,,,,,
59,07/11/23 04:40:00 PM,27.173,4133.4,,,,,
