Date,Run,Temperature,Light_Level,Light_Value,TimeStart,TimeStop,TimeInterval,IntervalStart,IntervalStop,Notes
20230713,1,28,1,415,17:23,17:54,0:31,0,31,We began with the photosynthesis at an average Par of 410 and swtihed the light levvel to 2 (0 par) for resperation.
20230713,1,28,2,0,17:56,18:31,0:35,33,68,
20230714,2,28,1,415,14:12,14:43,0:31,0,31,
20230714,2,28,2,0,14:48,15:23,0:35,36,66,
20230714,3,28,1,415,16:48,17:18,0:30,0,30,
20230714,3,28,2,0,17:21,18:12,0:51,33,63,
20230714,4,28,1,415,20:23,20:55,0:32,0,32,
20230714,4,28,2,0,20:57,21:32,0:35,34,66, 
20230714,5,28,1,415,22:54,23:25,0:29,0,29,
20230714,5,28,2,0,23:27,0:00,0:33,31,60,
20230715,6,28,1,415,11:17,11:49,0:32,0,32,
20230715,6,28,2,0,11:51,12:22,0:31,34,66,
20230715,7,28,1,415,14:54,15:35,0:39,0,39,
20230715,7,28,2,0,15:37,16:14,0:37,41,80,
20230716,8,28,1,415,15:15,15:51,0:36,0,36,
20230716,8,28,2,0,15:54,16:34,0:40,39,75,at 21min the plate was moved by me off the sensor acccidentially took around 15secs ater 21mins to fix
20230717,9,28,1,415,10:42,11:19,0:37,0,37, 
20230717,9,28,2,0,11:23,11:58,0:39,41,78,
20230717,10,30,1,415,12:38,13:09,0:31,0,31,
20230717,10,30,2,0,13:12,13:46,0:34,34,65,
20230718,11,28,1,415,11:29,12:06,0:37,0,37,
20230718,11,28,2,0,12:11,12:46,0:35,42,79,
20230718,12,30,1,415,15:00,15:32,0:32,0,32,
20230718,12,30,2,0,15:35,16:09,0:34,35,67,
20230719,13,28,1,415,11:59,12:34,0:35,0,35,
20230719,13,28,2,0,12:37,13:15,0:38,38,73,
20230719,14,30,1,415,15:18,15:57,0:39,0,39,
20230719,14,30,2,0,15:59,16:33,0:34,41,80,
20230719,15,28,1,415,17:39,18:16,0:37,0,37,
20230719,15,30,2,0,18:18,18:54,0:36,39,76,
20230720,16,28,1,415,11:04,11:35,0:31,0,31,
20230720,16,28,2,0,11:45,12:20,0:35,41,72,
20230720,17,28,1,415,14:14,14:45,0:31,0,31,
20230720,17,28,2,0,14:46,15:25,0:39,32,63,
20230720,18,30,1,415,16:19,16:50,0:31,0,31,
20230720,18,30,2,0,16:52,17:23,0:31,33,64,
20230720,19,30,1,415,18:02,18:34,0:32,0,32,
20230720,19,30,2,0,18:37,19:10,0:33,35,67,
20230721,20,28,1,415,15:39,16:11,0:32,0,32,
20230721,20,28,2,0,16:13,16:48,0:35,34,66,
20230721,21,30,1,415,17:26,18:02,0:36,0,36,
20230721,21,30,2,0,18:04,18:39,0:35,38,74,
