Date,Run,Plate,Temperature,Light_Level,Light_Value,TimeStart,TimeStop,TimeInterval,IntervalStart,IntervalStop,Notes
20230718,11,11,28,2,0,12:11,12:46,0:35,42,79,
20230718,12,12,30,2,0,15:35,16:09,0:34,35,67,
20230719,13,13,28,2,0,12:37,13:15,0:38,38,73,
20230719,14,14,30,2,0,15:59,16:33,0:34,41,80,
20230719,15,15,30,2,0,18:18,18:54,0:36,39,76,
20230720,16,16,28,2,0,11:45,12:20,0:35,41,72,
20230720,17,17,28,2,0,14:46,15:25,0:39,32,63,
20230720,18,18,30,2,0,16:52,17:23,0:31,33,64,
20230720,19,19,30,2,0,18:37,19:10,0:33,35,67,
20230721,20,20,28,2,0,16:13,16:48,0:35,34,66,
20230721,21,21,30,2,0,18:04,18:39,0:35,38,74,
