Measurement Name :,7202023P_run16,,Generated On :,"20/07/2023, 14:45:47",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION

Serial number     : SEBX0009001054      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 050

Ref LED current   : 050

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY


",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",
Start Date/Time:,"20/07/2023, 14:14:34",,,,,,Batch No.:  ,PSt5-2102-01_25°C,,,,,,,
End Date/Time:,"20/07/2023, 14:45:20",,,,,,O2_cal0 [°],54.55,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.62,,,,,,,
SDR Serial No. :,S-1054,,,,,,O2_T0 [°C],24.6,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],24.6,,,,,,,
,,,,,,,O2_patm [mbar],969,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Date/Time,Time/Min.,B2,B3,B4,B5,B6,C1,C2,C3,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
20.07.23 14:14:36,0.03,109.16,151.66,120.03,151.36,96.56,233.43,255.29,211.26,,27,969,36.5,28.79,969D6-(E1);
20.07.23 14:14:51,0.28,102.29,165.93,129.65,153.13,89.55,250.19,239.41,214.15,,27,969,36.5,28.71,969C3-(E1);
20.07.23 14:15:06,0.53,94.4,138.54,117.23,161.14,108.06,230.78,206.78,209.65,,27,969,36.5,28.68,969D6-(E1);
20.07.23 14:15:21,0.78,134.51,160.54,126.52,162.33,142.3,253.93,197.6,222.58,,27,969,36.5,28.65,969D6-(E1);
20.07.23 14:15:36,1.03,95.48,148.72,129.93,131.36,141.43,236.75,232.76,189.77,,27,969,36.5,28.66,969C3-(E1);
20.07.23 14:15:51,1.28,107.78,145.8,123.41,172.57,139.12,240.42,210.3,207.1,,27,969,36.5,28.65,
20.07.23 14:16:06,1.53,95.75,172.87,128.23,145.8,164.43,234.42,216.73,222.25,,27,969,36.5,28.68,
20.07.23 14:16:21,1.78,115.27,154.31,95.48,138.25,165.63,228.15,214.15,194.14,,27,969,36.5,28.69,969D6-(E1);
20.07.23 14:16:36,2.03,137.96,163.53,120.87,174.7,183.58,216.09,227.16,262.85,,27,969,36.5,28.71,969D6-(E1);
20.07.23 14:16:51,2.28,118.35,158.75,143.47,166.23,180.5,291.75,227.16,229.79,,27,969,36.5,28.72,969D6-(E1);
20.07.23 14:17:06,2.53,106.4,153.13,123.41,142.88,168.04,284.6,217.7,241.09,,27,969,36.5,28.72,969D6-(E1);
20.07.23 14:17:21,2.78,120.31,139.41,144.34,146.38,180.2,235.75,194.14,217.38,,27,969,36.5,28.72,969D6-(E1);
20.07.23 14:17:36,3.03,123.13,155.2,125.67,115.27,104.2,204.23,240.08,225.19,,27,969,36.5,28.74,969D6-(E1);
20.07.23 14:17:51,3.28,105.58,166.53,132.22,159.35,203.28,284.6,216.09,231.11,,27,969,36.5,28.75,969D6-(E1);
20.07.23 14:18:06,3.53,108.89,164.43,128.51,172.87,201.7,256.32,232.1,253.59,,27,969,36.5,28.76,969D6-(E1);
20.07.23 14:18:21,3.78,112.49,187.6,112.77,135.95,117.51,264.93,226.5,202.33,,27,969,36.5,28.76,969C3-(E1);
