Measurement Name :,7192023RR,,Generated On :,"19/07/2023, 13:22:27",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION

Serial number     : SEBX0009001054      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 050

Ref LED current   : 050

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY


",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,
Start Date/Time:,"19/07/2023, 12:37:50",,,,,,Batch No.:  ,PSt5-2102-01_25°C,,,,,,,,,,,,,
End Date/Time:,"19/07/2023, 13:15:15",,,,,,O2_cal0 [°],54.55,,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.62,,,,,,,,,,,,,
SDR Serial No. :,S-1054,,,,,,O2_T0 [°C],24.6,,,,,,,,,,,,,
Parameter :,Oxygen [cO2 [µmol/L]],,,,,,O2_T2nd [°C],24.6,,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],969,,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A3,B1,B2,B3,B5,B6,C1,C2,C4,C5,D1,D2,D3,D4,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
19.07.23 12:37:52,0.03,71.27,99.56,124.26,53.98,43.62,43.87,61.15,50.93,68.14,46.64,219.98,231.44,228.8,219.65,,27,969,36.5,28.61,
19.07.23 12:38:07,0.28,66.32,100.1,114.71,48.65,43.62,42.87,58.58,44.87,66.32,46.13,219.98,230.78,228.8,217.7,,27,969,36.5,28.57,
19.07.23 12:38:22,0.53,56.79,99.28,117.23,47.64,43.87,55.26,57.81,47.39,66.58,45.88,219,230.12,228.15,216.73,,27,969,36.5,28.54,
19.07.23 12:38:37,0.78,50.42,94.94,119.47,48.91,42.37,45.63,61.15,45.38,66.32,44.87,219.33,230.45,227.49,218.03,,27,969,36.5,28.51,
19.07.23 12:38:52,1.03,52.71,94.94,114.71,47.64,42.62,56.79,57.04,49.92,63.99,46.64,219,229.13,228.47,217.38,,27,969,36.5,28.51,
19.07.23 12:39:07,1.28,49.92,93.86,113.88,47.39,42.37,45.63,58.84,49.92,63.99,45.88,218.03,228.15,227.82,218.68,,27,969,36.5,28.47,
19.07.23 12:39:22,1.53,52.45,99.56,114.44,47.14,42.62,42.37,54.24,44.62,63.73,47.14,217.38,228.8,226.18,216.41,,27,969,36.5,28.46,
19.07.23 12:39:37,1.78,53.47,92.78,114.16,51.69,42.87,43.12,54.75,43.62,62.18,47.39,217.7,228.8,226.5,217.06,,27,969,36.5,28.43,
19.07.23 12:39:52,2.03,53.22,92.24,117.23,50.68,44.12,49.92,56.79,44.62,64.25,46.89,217.38,229.13,226.18,215.76,,27,969,36.5,28.43,
19.07.23 12:40:07,2.28,55.51,97.11,113.6,46.64,41.87,42.87,52.45,43.62,64.25,48.15,218.68,229.46,225.85,216.73,,27,969,36.5,28.4,
19.07.23 12:40:22,2.53,53.98,95.48,111.1,48.4,47.9,48.15,52.96,43.37,60.38,43.12,217.7,228.15,226.5,216.41,,27,969,36.5,28.39,
19.07.23 12:40:37,2.78,63.21,93.05,110.27,45.63,43.37,49.41,51.69,43.87,59.35,43.12,218.68,227.49,226.83,216.41,,27,969,36.5,28.36,
19.07.23 12:40:52,3.03,61.15,93.32,109.72,48.4,42.37,48.91,54.49,43.87,59.09,43.62,217.06,228.47,225.52,216.41,,27,969,36.5,28.33,
19.07.23 12:41:07,3.28,69.44,85.8,109.99,49.41,43.62,47.14,53.47,43.37,59.09,48.15,216.73,228.8,226.5,217.06,,27,969,36.5,28.33,
19.07.23 12:41:22,3.53,58.33,87.67,107.78,47.14,42.12,45.13,54.24,43.87,59.09,44.62,216.41,227.49,225.52,215.76,,27,969,36.5,28.29,
19.07.23 12:41:37,3.78,51.44,87.13,110.82,46.13,42.62,48.91,51.44,44.12,57.04,43.12,216.09,226.5,226.5,215.12,,27,969,36.5,28.28,
19.07.23 12:41:52,4.03,70.48,83.93,106.68,44.62,42.62,44.62,52.45,47.14,56.28,42.87,216.73,227.16,224.87,214.47,,27,969,36.5,28.28,
19.07.23 12:42:07,4.28,56.28,82.33,106.4,38.12,42.62,43.87,51.19,46.13,57.56,42.12,216.41,226.18,225.52,213.51,,27,969,36.5,28.24,
19.07.23 12:42:22,4.53,47.9,82.07,105.3,37.13,41.87,44.12,49.92,42.37,56.79,42.37,216.09,227.49,224.54,214.8,,27,969,36.5,28.24,
19.07.23 12:42:37,4.78,57.3,81.27,113.32,38.12,41.37,44.12,50.93,42.87,56.53,42.12,215.44,226.83,225.52,214.47,,27,969,36.5,28.22,
19.07.23 12:42:52,5.03,49.16,78.1,100.65,38.62,44.62,45.63,55.26,42.62,55.26,48.4,215.44,226.5,223.89,214.8,,27,969,36.5,28.18,
19.07.23 12:43:07,5.28,55.77,74.94,97.92,36.38,42.37,41.87,48.4,48.15,55,45.63,214.8,225.19,223.56,213.19,,27,969,36.5,28.18,
19.07.23 12:43:22,5.53,48.91,75.2,100.92,41.62,44.37,41.12,46.89,46.13,58.84,41.12,215.12,226.5,223.89,213.83,,27,969,36.5,28.16,
19.07.23 12:43:37,5.78,55.51,78.62,99.56,37.63,40.62,41.37,47.64,43.87,57.56,42.12,214.8,226.83,224.21,214.8,,27,969,36.5,28.15,
19.07.23 12:43:52,6.03,60.12,75.99,100.1,37.13,42.12,40.62,47.64,43.12,57.81,42.87,213.51,225.52,224.21,213.51,,27,969,36.5,28.11,
19.07.23 12:44:07,6.28,66.58,76.25,98.19,39.37,44.87,41.12,49.16,41.37,53.98,42.37,215.76,224.21,223.56,212.54,,27,969,36.5,28.1,
19.07.23 12:44:22,6.53,64.76,72.84,96.02,36.38,45.38,40.62,52.2,40.87,52.96,39.87,215.44,225.52,223.89,214.8,,27,969,36.5,28.08,
19.07.23 12:44:37,6.78,58.84,76.78,91.16,37.63,45.38,41.12,51.95,45.88,49.16,43.62,215.44,224.54,224.54,212.22,,27,969,36.5,28.08,
19.07.23 12:44:52,7.03,63.21,71.53,90.62,41.12,43.62,40.87,48.91,47.39,53.22,42.37,212.54,224.87,222.91,210.94,,27,969,36.5,28.05,
19.07.23 12:45:07,7.28,60.12,70.22,88.47,42.37,46.13,40.37,50.93,40.37,51.44,44.12,214.15,223.89,222.25,211.58,,27,969,36.5,28.04,
19.07.23 12:45:22,7.53,56.53,70.22,92.24,41.62,47.64,40.87,49.67,48.65,49.41,41.37,213.19,223.56,223.23,212.22,,27,969,36.5,28.01,
19.07.23 12:45:37,7.78,55.26,69.96,87.67,41.87,40.12,42.62,50.42,42.37,49.16,43.87,214.47,224.21,222.58,211.9,,27,969,36.5,28.01,
19.07.23 12:45:52,8.03,52.2,69.7,86.33,43.87,41.37,41.62,50.42,41.62,50.68,42.87,213.51,225.19,222.91,211.58,,27,969,36.5,27.99,
19.07.23 12:46:07,8.28,50.68,74.94,89.55,43.37,49.67,39.12,51.19,48.15,51.44,43.37,214.15,225.85,222.58,211.58,,27,969,36.5,27.97,
19.07.23 12:46:22,8.53,63.73,75.46,86.33,38.62,51.44,40.12,43.62,40.87,46.38,39.12,213.19,225.19,222.25,211.58,,27,969,36.5,27.97,
19.07.23 12:46:37,8.78,61.41,69.18,82.6,37.38,52.96,40.87,45.88,45.88,50.42,41.62,213.83,224.87,223.23,212.22,,27,969,36.5,27.96,
19.07.23 12:46:52,9.03,61.41,69.7,87.13,39.37,51.95,39.87,49.41,44.62,48.4,37.88,214.47,223.23,222.58,211.58,,27,969,36.5,27.93,
19.07.23 12:47:07,9.28,49.16,65.02,79.42,37.88,41.37,43.37,46.64,47.9,46.38,41.62,213.51,225.19,221.93,211.26,,27,969,36.5,27.93,
19.07.23 12:47:22,9.53,49.16,65.28,86.87,39.12,41.37,42.87,48.15,40.87,45.63,40.37,213.19,223.89,221.28,210.3,,27,969,36.5,27.9,
19.07.23 12:47:37,9.78,49.67,64.76,87.13,35.89,41.12,41.87,48.4,39.87,45.88,40.87,213.51,225.19,220.95,209.33,,27,969,36.5,27.9,
19.07.23 12:47:52,10.03,49.92,64.76,79.95,33.17,40.37,42.62,48.91,42.62,45.63,40.12,212.86,225.19,221.28,210.3,,27,969,36.5,27.89,
19.07.23 12:48:07,10.28,49.41,62.96,76.51,34.9,41.12,41.37,47.64,44.62,45.13,40.37,213.51,223.23,222.25,210.94,,27,969,36.5,27.86,
19.07.23 12:48:23,10.55,50.68,65.28,77.83,36.88,39.62,42.87,47.14,47.39,44.37,37.88,212.86,221.93,222.58,210.62,,27,969,36.5,27.86,
19.07.23 12:48:38,10.8,46.64,63.47,75.46,31.93,40.87,42.87,44.12,49.67,51.19,39.37,212.54,223.23,220.95,210.62,,27,969,36.5,27.83,
